Id	Label	Color
0	Sam Houston St.	2
1	E. Washington	2
2	Abil Chr.	2
3	Georgia State	4
4	Texas A&M	4
5	South Carolina	4
6	E. Illinois	3
7	Minnesota	4
8	Presbyterian	4
9	Northern Illinois	4
10	Missouri St.	2
11	Northwestern St.	2
12	Bryant	0
13	Stony Brook	0
14	Wake Forest	4
15	La.-Monroe	4
16	Chattanooga	3
17	C. Michigan	4
18	Howard	4
19	Akron	4
20	Charlotte	3
21	Campbell	3
22	Reinhardt	4
23	Mercer	3
24	E. Kentucky	3
25	Robert Morris	0
26	Point U	4
27	Charleston So.	4
28	Missouri Baptist	3
29	SE Missouri St.	3
30	Idaho State	2
31	Utah	2
32	Valparaiso	3
33	W. Illinois	3
34	Boise St.	2
35	Ole Miss	4
36	Kentucky Chr.	4
37	Tenn. Tech	3
38	Taylor	3
39	S. Illinois	3
40	Tulane	4
41	Tulsa	4
42	Cal-Poly	2
43	New Mexico St.	4
44	Union College (KY)	4
45	Murray St.	3
46	North Dakota	2
47	San Jose St.	2
48	Rutgers	4
49	Washington St.	2
50	Weber St.	2
51	Arizona St.	2
52	Temple	4
53	Vanderbilt	4
54	BYU	4
55	Connecticut	4
56	Villanova	0
57	Syracuse	4
58	Jacksonville St.	3
59	Michigan St.	4
60	Bowling Green	4
61	W. Kentucky	4
62	Colorado St.	2
63	Colorado	2
64	Texas-San Antonio	4
65	Houston	4
66	UNLV	2
67	Arizona	2
68	Penn St.	4
69	UCF	4
70	UCLA	2
71	Virginia	4
72	Delaware	0
73	Pittsburgh	4
74	W. Michigan	4
75	Purdue	4
76	Wagner	0
77	Georgetown	0
78	N. Iowa	2
79	Iowa	4
80	Ohio St.	4
81	Navy	4
82	Troy	4
83	UAB	4
84	Appalachian St.	4
85	Michigan	4
86	UT Martin	3
87	Kentucky	4
88	N. Dakota St.	2
89	Iowa St.	4
90	Youngstown St.	3
91	Illinois	4
92	Indiana St.	3
93	Indiana	4
94	Wofford	3
95	Georgia Tech	4
96	Ga. Southern	4
97	N. Carolina St.	4
98	Delaware St.	4
99	Monmouth	0
100	Colgate	0
101	Ball St.	4
102	Nicholls St.	2
103	Air Force	2
104	So. Utah	2
105	Nevada	2
106	Boston College	4
107	Massachusetts	4
108	California	2
109	Northwestern	4
110	FAU	4
111	Nebraska	4
112	Hampton	4
113	Old Dominion	4
114	South Dakota St.	2
115	Missouri	4
116	Marshall	4
117	Miami (Ohio)	4
118	James Madison	0
119	Maryland	4
120	Rice	4
121	Notre Dame	4
122	Duquesne	0
123	Buffalo	4
124	West Virginia	4
125	Alabama	4
126	UC-Davis	2
127	Stanford	2
128	Portland St.	2
129	Oregon St.	2
130	William & Mary	0
131	Virginia Tech	4
132	Arkansas	4
133	Auburn	4
134	Montana	2
135	Wyoming	2
136	Virginia-Lynchburg	4
137	Alcorn St.	1
138	Faith U.	4
139	Mississippi Valley St.	1
140	S.C. State	4
141	Benedict	4
142	Clemson	4
143	Georgia	4
144	Elon	0
145	Duke	4
146	VMI	3
147	Bucknell	0
148	Coastal Carolina	4
149	The Citadel	3
150	Liberty	4
151	North Carolina	4
152	Morgan St.	0
153	E. Michigan	4
154	Holy Cross	0
155	Albany	0
156	Central Conn. St.	0
157	Towson	0
158	Ohio	4
159	Kent St.	4
160	Morehead St.	3
161	Richmond	0
162	Norfolk St.	4
163	Maine	0
164	Marist	3
165	Sacred Heart	0
166	St. Francis	0
167	Fordham	0
168	Samford	4
169	TCU	4
170	Southern	1
171	UL Lafayette	4
172	Austin Peay	3
173	Memphis	4
174	Stetson	3
175	Warner	3
176	Louisiana Tech	4
177	Oklahoma	4
178	Montana St.	2
